nation,mean_rank,sd,seed0,seed1,seed2,seed3,seed4,seed5,seed6,seed7
United States of America,13.75,2.63,9,11,12,16,15,17,16,14
United Kingdom,13.62,2.50,16,14,15,10,17,12,10,15
Germany,9.50,1.22,10,10,9,8,10,8,9,12
France,13.88,2.98,12,15,16,11,16,16,8,17
Netherlands,3.75,2.17,7,6,2,1,2,2,6,4
Japan,7.38,1.65,5,8,7,9,8,5,7,10
Italy,11.00,2.24,14,9,13,14,9,10,11,8
China mainland,19.25,0.43,19,19,20,19,19,19,20,19
Russian Federation,8.12,3.62,8,7,10,12,5,9,13,1
India,10.38,3.50,13,13,8,5,13,13,5,13
Spain,16.12,2.15,18,17,17,18,11,15,17,16
Saudi Arabia,13.00,2.24,11,16,14,15,14,11,14,9
Turkey,4.75,1.56,2,5,6,3,7,6,4,5
Belgium,19.75,0.43,20,20,19,20,20,20,19,20
Canada,17.75,0.43,17,18,18,17,18,18,18,18
Indonesia,12.88,1.54,15,12,11,13,12,14,15,11
Portugal,3.12,1.36,3,3,4,6,3,1,2,3
Malaysia,6.25,2.54,6,4,5,7,6,3,12,7
Switzerland,3.00,1.58,4,1,3,2,1,4,3,6
China Hong Kong SAR,2.75,1.98,1,2,1,4,4,7,1,2
