system,horizon,seed,realized_gap,pooled_gap
polecat,4,0,0.0021,0.0471
polecat,8,0,0.0116,0.1617
polecat,12,0,0.0373,0.1901
polecat,16,0,0.0360,0.2767
polecat,4,1,0.0011,0.0334
polecat,8,1,0.0069,0.1343
polecat,12,1,0.0306,0.3259
polecat,16,1,0.0525,0.3542
polecat,4,2,0.0008,0.0456
polecat,8,2,0.0159,0.1788
polecat,12,2,0.0281,0.2296
polecat,16,2,0.0402,0.2621
polecat,4,3,0.0015,0.0238
polecat,8,3,0.0163,0.1895
polecat,12,3,0.0386,0.3270
polecat,16,3,0.0630,0.4278
polecat,4,4,0.0015,0.0651
polecat,8,4,0.0137,0.1814
polecat,12,4,0.0574,0.2362
polecat,16,4,0.0992,0.2144
polecat,4,5,0.0019,0.0375
polecat,8,5,0.0068,0.1409
polecat,12,5,0.0325,0.3193
polecat,16,5,0.0765,0.3083
polecat,4,6,0.0013,0.0452
polecat,8,6,0.0129,0.1567
polecat,12,6,0.0402,0.2159
polecat,16,6,0.0795,0.3178
polecat,4,7,0.0021,0.0310
polecat,8,7,0.0120,0.2024
polecat,12,7,0.0291,0.2794
polecat,16,7,0.0527,0.2899
