system,horizon,seed,realized_gap,pooled_gap
trade,4,0,0.0030,0.0150
trade,8,0,0.0090,0.0286
trade,12,0,0.0331,0.0632
trade,16,0,0.0361,0.0692
trade,4,1,0.0015,0.0195
trade,8,1,0.0120,0.0526
trade,12,1,0.0541,0.1278
trade,16,1,0.0692,0.1068
trade,4,2,0.0000,0.0150
trade,8,2,0.0075,0.0301
trade,12,2,0.0211,0.0556
trade,16,2,0.0301,0.0767
trade,4,3,0.0030,0.0271
trade,8,3,0.0150,0.0226
trade,12,3,0.0647,0.0947
trade,16,3,0.0977,0.1203
trade,4,4,0.0075,0.0120
trade,8,4,0.0301,0.0496
trade,12,4,0.0586,0.0511
trade,16,4,0.0526,0.1429
trade,4,5,0.0030,0.0165
trade,8,5,0.0120,0.0526
trade,12,5,0.0346,0.1083
trade,16,5,0.0737,0.1549
trade,4,6,0.0075,0.0301
trade,8,6,0.0195,0.0346
trade,12,6,0.0406,0.0556
trade,16,6,0.0511,0.0917
trade,4,7,0.0015,0.0120
trade,8,7,0.0180,0.0256
trade,12,7,0.0331,0.1398
trade,16,7,0.0481,0.2346
