actor_id,Ej_seed0,Ej_seed1,Ej_seed2,Ej_seed3,Ej_seed4,Ej_seed5,Ej_seed6,Ej_seed7,rank_seed0,rank_seed1,rank_seed2,rank_seed3,rank_seed4,rank_seed5,rank_seed6,rank_seed7
59,0.041769,0.038671,0.041693,0.042011,0.040211,0.039190,0.041430,0.043008,17,19,17,18,18,18,17,17
10,0.040376,0.043468,0.043077,0.040675,0.041285,0.043651,0.040516,0.042604,18,16,16,19,17,17,18,18
57424,0.051748,0.048068,0.050223,0.049830,0.051567,0.049583,0.048461,0.050090,7,13,12,10,10,11,11,10
1622,0.050249,0.044074,0.049149,0.051721,0.052355,0.050600,0.045536,0.049842,11,15,13,7,8,10,14,11
305,0.059305,0.060255,0.056387,0.057610,0.059416,0.057228,0.056319,0.055638,3,2,4,3,2,5,5,6
47,0.046887,0.045608,0.047736,0.045380,0.046031,0.043950,0.044477,0.046098,15,14,14,16,14,16,15,15
455,0.050220,0.051179,0.053240,0.049742,0.050151,0.052243,0.048960,0.051036,12,9,7,11,11,8,9,9
129,0.053456,0.055906,0.059313,0.057018,0.053634,0.058059,0.055177,0.056872,6,6,2,4,7,4,6,5
345,0.059259,0.058180,0.058829,0.058350,0.060674,0.060643,0.063265,0.059033,4,5,3,2,1,1,1,2
219,0.059750,0.059809,0.059698,0.056378,0.058889,0.058704,0.060758,0.059544,2,3,1,5,4,2,3,1
9238,0.048339,0.054245,0.052195,0.049233,0.049864,0.049175,0.050086,0.049189,14,7,9,12,12,12,8,12
193,0.038553,0.036560,0.037338,0.042520,0.037119,0.038152,0.039485,0.039177,20,20,20,17,20,20,20,19
370,0.050692,0.049111,0.050973,0.050583,0.051977,0.054042,0.048263,0.054963,9,12,10,9,9,7,12,7
13,0.060304,0.058288,0.054020,0.055250,0.055142,0.056438,0.060421,0.057535,1,4,6,6,5,6,4,4
49,0.050656,0.050274,0.047598,0.047584,0.048094,0.047640,0.048912,0.046857,10,10,15,14,13,13,10,13
101,0.049502,0.049676,0.050486,0.047805,0.045792,0.047577,0.048001,0.046710,13,11,11,13,15,14,13,14
559,0.056116,0.060263,0.055896,0.062089,0.059301,0.058680,0.061892,0.057789,5,1,5,1,3,3,2,3
123,0.039457,0.041251,0.040116,0.039276,0.039433,0.038980,0.039497,0.038058,19,18,18,20,19,19,19,20
68,0.051405,0.053351,0.052669,0.050757,0.053646,0.051207,0.055014,0.052398,8,8,8,8,6,9,7,8
2243,0.041956,0.041764,0.039364,0.046189,0.045419,0.044256,0.043528,0.043559,16,17,19,15,16,15,16,16
