variant,seed,realized_gap,pooled_gap,coop_share,valence_coverage
valence_A,0,0.0116,0.1617,0.485,0.8258
valence_A,1,0.0069,0.1343,0.487,0.8258
valence_A,2,0.0159,0.1788,0.488,0.8258
valence_A,3,0.0163,0.1895,0.491,0.8258
valence_A,4,0.0137,0.1771,0.478,0.8258
valence_A,5,0.0068,0.1409,0.480,0.8258
valence_A,6,0.0129,0.1567,0.489,0.8258
valence_A,7,0.0122,0.2024,0.475,0.8258
valence_B,0,0.0193,0.1644,0.484,0.8633
valence_B,1,0.0073,0.1351,0.484,0.8633
valence_B,2,0.0111,0.1962,0.485,0.8633
valence_B,3,0.0086,0.1386,0.489,0.8633
valence_B,4,0.0163,0.1568,0.477,0.8633
valence_B,5,0.0086,0.1368,0.478,0.8633
valence_B,6,0.0244,0.1520,0.486,0.8633
valence_B,7,0.0113,0.1966,0.474,0.8633
ablation_role_split,0,0.0090,0.1578,,1.0000
ablation_role_split,1,0.0103,0.1553,,1.0000
ablation_role_split,2,0.0124,0.1788,,1.0000
ablation_role_split,3,0.0098,0.1086,,1.0000
ablation_role_split,4,0.0152,0.1347,,1.0000
ablation_role_split,5,0.0092,0.1595,,1.0000
ablation_role_split,6,0.0062,0.1358,,1.0000
ablation_role_split,7,0.0086,0.1614,,1.0000
ablation_collapsed_A,0,0.0226,0.1143,,0.8258
ablation_collapsed_A,1,0.0120,0.1820,,0.8258
ablation_collapsed_A,2,0.0090,0.0827,,0.8258
ablation_collapsed_A,3,0.0180,0.1594,,0.8258
ablation_collapsed_A,4,0.0075,0.0962,,0.8258
ablation_collapsed_A,5,0.0120,0.1820,,0.8258
ablation_collapsed_A,6,0.0120,0.1038,,0.8258
ablation_collapsed_A,7,0.0180,0.1338,,0.8258
ablation_collapsed_B,0,0.0271,0.1323,,0.8633
ablation_collapsed_B,1,0.0105,0.1744,,0.8633
ablation_collapsed_B,2,0.0135,0.0857,,0.8633
ablation_collapsed_B,3,0.0165,0.1218,,0.8633
ablation_collapsed_B,4,0.0090,0.1158,,0.8633
ablation_collapsed_B,5,0.0180,0.1549,,0.8633
ablation_collapsed_B,6,0.0496,0.0677,,0.8633
ablation_collapsed_B,7,0.0421,0.1293,,0.8633
