system,baseline,quantity,spearman
trade_full,communicability_bc,Ej_meanrank,0.2947
trade_full,communicability_bc,AC_pooled,0.0992
trade_full,communicability_bc,strength,0.1008
trade_full,communicability_bc,volume,0.0827
trade_full,communicability_bc,impact,0.1429
trade_full,communicability_rc,Ej_meanrank,-0.2632
trade_full,communicability_rc,AC_pooled,-0.0947
trade_full,communicability_rc,strength,0.7008
trade_full,communicability_rc,volume,0.7068
trade_full,communicability_rc,impact,-0.1684
trade_full,supra,Ej_meanrank,-0.1729
trade_full,supra,AC_pooled,-0.1233
trade_full,supra,strength,0.8361
trade_full,supra,volume,0.8120
trade_full,supra,impact,-0.1564
trade_full,decayed_strength,Ej_meanrank,-0.4000
trade_full,decayed_strength,AC_pooled,-0.2677
trade_full,decayed_strength,strength,0.9579
trade_full,decayed_strength,volume,0.9654
trade_full,decayed_strength,impact,-0.3218
trade_full,static_katz,Ej_meanrank,-0.3233
trade_full,static_katz,AC_pooled,-0.1504
trade_full,static_katz,strength,0.8451
trade_full,static_katz,volume,0.8481
trade_full,static_katz,impact,-0.2226
trade_full,temporal_closeness,Ej_meanrank,-0.1332
trade_full,temporal_closeness,AC_pooled,-0.1994
trade_full,temporal_closeness,strength,0.6351
trade_full,temporal_closeness,volume,0.6140
trade_full,temporal_closeness,impact,-0.1934
polecat_full,communicability_bc,Ej_actor,-0.0707
polecat_full,communicability_rc,Ej_actor,0.1519
polecat_full,supra,Ej_actor,0.0782
polecat_full,decayed_strength,Ej_actor,0.0797
polecat_full,static_katz,Ej_actor,0.1865
polecat_full,temporal_closeness,Ej_actor,0.0361
